"time","as7.y","add.y"
26100,237383535.8212382,244873735.9707317
26160,237383535.8212382,240886357.8966302
26240,237383535.8212382,236405605.1122261
26280,237383535.8212382,235982343.7014127
26280,237224698.0024151,235982343.7014127
26320,237224698.0024151,236070020.1249113
26400,237224698.0024151,236580424.9529595
26460,237224698.0024151,236895872.5397686
26460,242772334.4716889,236895872.5397686
26480,242772334.4716889,237467232.311852
26560,242772334.4716889,242989515.5236254
26640,242772334.4716889,244384169.0845656
26640,241273563.5722899,244384169.0845656
26720,241273563.5722899,242452909.1742923
26800,241273563.5722899,241210312.7738619
26820,241273563.5722899,241115933.3563181
26820,240113244.0991584,241115933.3563181
26880,240113244.0991584,240359817.7447711
26960,240113244.0991584,239708585.2984464
27000,240113244.0991584,239709971.9980898
27000,241696582.628812,239709971.9980898
27040,241696582.628812,240320111.6788654
27120,241696582.628812,241847355.8961958
27180,241696582.628812,242100280.1006197
27180,239084548.1683475,242100280.1006197
27200,239084548.1683475,241853427.6568519
27280,239084548.1683475,239157888.1698222
27360,239084548.1683475,238392694.9445709
27360,240473875.5727841,238392694.9445709
27440,240473875.5727841,239843216.823875
27520,240473875.5727841,240708756.2314343
27540,240473875.5727841,240752959.5698766
27540,236109558.5694505,240752959.5698766
27600,236109558.5694505,238043689.8832706
27680,236109558.5694505,235083056.2815895
27720,236109558.5694505,234887388.642767
27720,242499181.2375015,234887388.642767
27760,242499181.2375015,237194962.4101819
27840,242499181.2375015,243189915.6141812
27900,242499181.2375015,244161194.4308402
27900,240646264.9391363,244161194.4308402
27920,240646264.9391363,243933699.3457091
28000,240646264.9391363,241415836.5106986
28080,240646264.9391363,240417042.1482747
28080,240982753.7935852,240417042.1482747
28160,240982753.7935852,240701333.2652205
28240,240982753.7935852,240979130.0704309
28260,240982753.7935852,241003771.9773409
28260,243934743.3449925,241003771.9773409
28320,243934743.3449925,242829727.0309547
28400,243934743.3449925,244724851.6369368
28440,243934743.3449925,244818063.1279
28440,238345446.8731446,244818063.1279
28480,238345446.8731446,242810332.0754024
28560,238345446.8731446,237653026.1019499
28620,238345446.8731446,236850519.7257835
28620,237116933.0494707,236850519.7257835
28640,237116933.0494707,236804484.5204674
28720,237116933.0494707,236282046.3678539
28800,237116933.0494707,236475786.3111573
28800,240882341.4783167,236475786.3111573
28800.00000576041,240882341.4783167,236475786.3376267
28800.00000576041,210882341.4783167,236475786.3376267
28880,210882341.4783167,201925830.6937734
28960,210882341.4783167,209803159.4806973
28980,210882341.4783167,211136452.4924559
28980,208876455.6417867,211136452.4924559
29040,208876455.6417867,211486496.0866976
29120,208876455.6417867,209650707.1949705
29160,208876455.6417867,209151657.9009171
29160,207451928.7289,209151657.9009171
29200,207451928.7289,208438151.8786678
29280,207451928.7289,207125706.8441771
29340,207451928.7289,206990380.9010168
29340,210962918.9413419,206990380.9010168
29360,210962918.9413419,207339725.8275337
29440,210962918.9413419,210937560.1704255
29520,210962918.9413419,211921910.6592807
29520,210727576.5236204,211921910.6592807
29600,210727576.5236204,211358276.7950938
29680,210727576.5236204,210892348.8559591
29700,210727576.5236204,210835048.164204
29700,211531667.5019679,210835048.164204
29760,211531667.5019679,211240982.4570045
29840,211531667.5019679,211738909.6872573
29880,211531667.5019679,211766277.1782448
29880,208738111.3575926,211766277.1782448
29920,208738111.3575926,210799039.2512402
30000,208738111.3575926,208314659.7400273
30060,208738111.3575926,207956285.8393472
30060,209017637.3692345,207956285.8393472
30080,209017637.3692345,208021664.95249
30160,209017637.3692345,208640999.6833304
30240,209017637.3692345,208958459.5566032
30240,207137282.0106819,208958459.5566032
30320,207137282.0106819,207405336.4104114
30400,207137282.0106819,206594709.0677288
30420,207137282.0106819,206589715.8121535
30420,214394647.8934983,206589715.8121535
30480,214394647.8934983,211185117.7672727
30560,214394647.8934983,216117271.4403726
30600,214394647.8934983,216437209.5290272
30600,208905023.6096234,216437209.5290272
30640,208905023.6096234,214303649.1425565
30720,208905023.6096234,208704626.9949623
30780,208905023.6096234,207655191.9230856
30780,209649219.6501207,207655191.9230856
30800,209649219.6501207,207729112.329109
30880,209649219.6501207,208979540.0842469
30960,209649219.6501207,209606383.5048473
30960,210544288.736914,209606383.5048473
31040,210544288.736914,210475402.4734633
31120,210544288.736914,210837616.5999066
31140,210544288.736914,210832282.509903
31140,209448265.7409866,210832282.509903
31200,209448265.7409866,210072863.5462255
31280,209448265.7409866,209244876.7437248
31320,209448265.7409866,209172337.5471857
31320,216312675.1888964,209172337.5471857
31360,216312675.1888964,211487841.9536374
31440,216312675.1888964,217460766.3740784
31500,216312675.1888964,218282309.8831233
31500,209828334.6054261,218282309.8831233
31520,209828334.6054261,217588652.0643338
31600,209828334.6054261,210452014.6910151
31680,209828334.6054261,208267643.4103882
31680,205236145.8984476,208267643.4103882
31760,205236145.8984476,204829574.0589337
31840,205236145.8984476,203475648.3966585
31860,205236145.8984476,203568046.1549357
